,year,pubCount,totalCite,meanCite
0,1999,5,2,11
1,2000,10,9,17
2,2001,13,10,13
3,2002,18,15,46
4,2003,19,17,10
5,2004,27,21,66
6,2005,37,25,25
7,2006,38,21,9
8,2007,34,28,29
9,2008,27,22,25
10,2009,41,30,32
11,2010,48,29,36
12,2011,38,24,21
13,2012,41,25,22
14,2013,64,39,15
15,2014,51,34,16
16,2015,63,45,15
17,2016,79,60,10
18,2017,86,56,14
19,2018,114,76,8
20,2019,173,126,6
21,2020,181,128,6
22,2021,183,131,1
23,2022,21,15,0
